FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
CFL 2014/Fixtures 05 September/BC @ Ottawa,126,1172.26,1296.3448,520.7488,06-09-2014 02:57:14,,
CFL 2014/Fixtures 06 September/Calgary @ Edmonton,127,4104.74,4019.4098000000004,3773.9536000000003,07-09-2014 02:05:55,,
CFL 2014/Fixtures 07 September/Hamilton @ Montreal,52,923.9,1147.6382,608.8471999999999,07-09-2014 20:33:34,,
CFL 2014/Fixtures 07 September/Saskatchewan @ Winnipeg,46,682.6999999999999,1127.231,47.5606,07-09-2014 23:08:31,,
CFL 2014/Week 10/Games 01 September/Edmonton @ Calgary,165,1900.26,2372.951,672.49,01-09-2014 23:35:56,,
CFL 2014/Week 10/Games 01 September/Toronto @ Hamilton,123,1326.08,1063.8718,1561.1192,01-09-2014 20:20:09,,
NCAAF 2014/15/Games 01 September/Miami (FL) @ Louisville,809,30129.06,33089.2244,21369.04,02-09-2014 03:27:37,,
NCAAF 2014/15/Games 04 September/Arizona @ UTSA,182,4140.24,2569.8176,5028.2042,05-09-2014 03:38:07,,
NCAAF 2014/15/Games 05 September/Pittsburgh @ Boston College,643,25819.66,27672.5482,23030.2162,06-09-2014 02:32:29,,
NCAAF 2014/15/Games 05 September/Washington State @ Nevada,279,9387.220000000001,2385.2664,14485.505200000001,06-09-2014 06:19:35,,
NCAAF 2014/15/Games 06 September/Arizona State @ New Mexico,51,338.3,389.09200000000004,237.87800000000001,07-09-2014 02:49:57,,
NCAAF 2014/15/Games 06 September/Citadel @ Florida State,17,989.82,327.2458,1138.89,07-09-2014 02:37:04,,
NCAAF 2014/15/Games 06 September/Colorado State @ Boise State,166,5857.49,8678.7529,1649.6925999999999,07-09-2014 06:12:46,,
NCAAF 2014/15/Games 06 September/East Carolina @ South Carolina,82,1189.36,1000.5814,1292.2266,07-09-2014 02:29:56,,
NCAAF 2014/15/Games 06 September/Eastern Washington @ Washington,21,115.96000000000001,50.238400000000006,150.8916,06-09-2014 22:48:51,,
NCAAF 2014/15/Games 06 September/Florida Atlantic @ Alabama,48,813.62,913.1464,601.7966,06-09-2014 19:16:07,,
NCAAF 2014/15/Games 06 September/Kansas State @ Iowa State,154,2446.64,1196.0516,3743.2693999999997,06-09-2014 19:46:56,,
NCAAF 2014/15/Games 06 September/Lamar @ Texas AM,26,242.12000000000003,605.8708000000001,0.0,07-09-2014 05:14:57,,
NCAAF 2014/15/Games 06 September/McNeese State @ Nebraska,32,1225.92,1243.6982,751.3525999999999,06-09-2014 19:28:51,,
NCAAF 2014/15/Games 06 September/Memphis @ UCLA,159,6437.700000000001,8665.3406,2583.4618,07-09-2014 05:27:20,,
NCAAF 2014/15/Games 06 September/Michigan @ Notre Dame,418,11306.800000000001,7593.7178,14658.703000000001,07-09-2014 02:59:30,,
NCAAF 2014/15/Games 06 September/Michigan State @ Oregon,603,19804.010000000002,17632.4389,25453.762,07-09-2014 02:05:07,,
NCAAF 2014/15/Games 06 September/Missouri @ Toledo,199,7808.16,13088.9126,764.3512000000001,06-09-2014 19:42:52,,
NCAAF 2014/15/Games 06 September/Northwestern State @ Baylor,12,22.1,24.949200000000005,0.0,07-09-2014 03:06:38,,
NCAAF 2014/15/Games 06 September/Oklahoma @ Tulsa,169,3719.34,5971.5802,545.2388000000001,06-09-2014 19:30:22,,
NCAAF 2014/15/Games 06 September/Ole Miss @ Vanderbilt,110,8287.04,13323.7062,2791.0918,06-09-2014 23:45:49,,
NCAAF 2014/15/Games 06 September/Sam Houston State @ LSU,16,126.31,206.9523,0.0,07-09-2014 02:52:04,,
NCAAF 2014/15/Games 06 September/San Diego State @ North Carolina,33,255.68,280.9336,181.25220000000002,07-09-2014 03:29:54,,
NCAAF 2014/15/Games 06 September/San Jose State @ Auburn,148,11469.8,9497.7276,12727.4892,07-09-2014 02:31:17,,
NCAAF 2014/15/Games 06 September/South Carolina State @ Clemson,31,1404.0,1523.5916,448.0,06-09-2014 19:46:17,,
NCAAF 2014/15/Games 06 September/USC @ Stanford,1381,70272.1,61030.9516,69361.5152,06-09-2014 22:51:39,,
NCAAF 2014/15/Games 06 September/Virginia Tech @ Ohio State,416,18985.16,13964.851799999999,16406.9628,07-09-2014 03:57:02,,
NCAAF 2014/15/Games 06 September/Western Illinois @ Wisconsin,22,355.66,352.6948,674.0,06-09-2014 19:03:17,,
NCAAF 2014/15/Games 31 August/SMU @ Baylor,136,7746.9,10707.8652,3160.278,01-09-2014 04:09:45,,
NCAAF 2014/15/Games 31 August/Utah St @ Tennessee,484,18977.96,18569.3842,18339.2448,01-09-2014 02:44:43,,
NFL Season 2014/15/Week 1/Games 04 September/Green Bay @ Seattle,9858,1275584.84,1601236.7382,785481.3221999999,05-09-2014 03:26:46,,
NFL Season 2014/15/Week 1/Games 07 September/Buffalo @ Chicago,1751,89274.31999999999,52149.1816,105992.8718,07-09-2014 20:29:31,,
NFL Season 2014/15/Week 1/Games 07 September/Carolina @ Tampa Bay,3920,281730.4,229872.8834,215344.914,07-09-2014 23:22:04,,
NFL Season 2014/15/Week 1/Games 07 September/Cincinnati @ Baltimore,1564,57446.48,59420.3626,51412.3116,07-09-2014 20:23:17,,
NFL Season 2014/15/Week 1/Games 07 September/Cleveland @ Pittsburgh,1825,130855.1,152900.97,62118.9948,07-09-2014 20:17:42,,
NFL Season 2014/15/Week 1/Games 07 September/Jacksonville @ Philadelphia,2287,93143.0,88167.6258,87274.0988,07-09-2014 20:36:32,,
NFL Season 2014/15/Week 1/Games 07 September/Minnesota @ St Louis,1316,41779.979999999996,50227.127799999995,29005.0604,07-09-2014 20:06:21,,
NFL Season 2014/15/Week 1/Games 07 September/New England @ Miami,8070,760930.76,493519.7553,796981.4813,07-09-2014 20:23:13,,
NFL Season 2014/15/Week 1/Games 07 September/New Orleans @ Atlanta,3190,147746.04,115142.6694,163811.068,07-09-2014 20:26:15,,
NFL Season 2014/15/Week 1/Games 07 September/Oakland @ New York Jets,1174,41772.659999999996,36183.416,47200.9814,07-09-2014 20:10:52,,
NFL Season 2014/15/Week 1/Games 07 September/San Francisco @ Dallas,8837,1210087.44,1380871.5856,517178.7812,07-09-2014 23:30:54,,
NFL Season 2014/15/Week 1/Games 07 September/Tennessee @ Kansas City,1383,68178.68000000001,56992.3022,68597.5748,07-09-2014 20:34:26,,
NFL Season 2014/15/Week 1/Games 07 September/Washington @ Houston,980,41700.54,44741.5326,27600.403400000003,07-09-2014 20:15:41,,
