FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
CFL 2014/Fixtures 05 September/BC @ Ottawa,126,1172.26,1296.3448,520.7488,6/9/14 2:57,Canada,Ottawa
CFL 2014/Fixtures 06 September/Calgary @ Edmonton,127,4104.74,4019.4098,3773.9536,7/9/14 2:05,Canada,Edmonton
CFL 2014/Fixtures 07 September/Hamilton @ Montreal,52,923.9,1147.6382,608.8472,7/9/14 20:33,Canada,Montreal
CFL 2014/Fixtures 07 September/Saskatchewan @ Winnipeg,46,682.7,1127.231,47.5606,7/9/14 23:08,Canada,Winnipeg
CFL 2014/Week 10/Games 01 September/Edmonton @ Calgary,165,1900.26,2372.951,672.49,1/9/14 23:35,Canada,Calgary
CFL 2014/Week 10/Games 01 September/Toronto @ Hamilton,123,1326.08,1063.8718,1561.1192,1/9/14 20:20,Canada,Hamilton
NCAAF 2014/15/Games 01 September/Miami (FL) @ Louisville,809,30129.06,33089.2244,21369.04,2/9/14 3:27,USA,"LOUISVILLE, Ky"
NCAAF 2014/15/Games 04 September/Arizona @ UTSA,182,4140.24,2569.8176,5028.2042,5/9/14 3:38,USA,"San Antonio, TX"
NCAAF 2014/15/Games 05 September/Pittsburgh @ Boston College,643,25819.66,27672.5482,23030.2162,6/9/14 2:32,USA,"Chestnut Hill, MA"
NCAAF 2014/15/Games 05 September/Washington State @ Nevada,279,9387.22,2385.2664,14485.5052,6/9/14 6:19,USA,"Reno, Nevada"
NCAAF 2014/15/Games 06 September/Arizona State @ New Mexico,51,338.3,389.092,237.878,7/9/14 2:49,USA,"Las Cruces, NM"
NCAAF 2014/15/Games 06 September/Citadel @ Florida State,17,989.82,327.2458,1138.89,7/9/14 2:37,USA,"Tallahassee, FL 32306"
NCAAF 2014/15/Games 06 September/Colorado State @ Boise State,166,5857.49,8678.7529,1649.6926,7/9/14 6:12,USA,"Boise, ID"
