FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
MLB 2014/Games 01 September/ARI @ SD,240,6517.1,6442.825,6539.2218,01-09-2014 23:20:33,,
MLB 2014/Games 01 September/BOS @ TB,241,4689.08,3791.1308,5558.6152,01-09-2014 20:46:48,,
MLB 2014/Games 01 September/DET @ CLE,415,30344.7,40520.985400000005,20217.531600000002,01-09-2014 23:45:21,,
MLB 2014/Games 01 September/MIL @ CHC,247,4404.3,3490.5716,5118.3414,01-09-2014 21:12:41,,
MLB 2014/Games 01 September/MIN @ BAL,362,7521.48,6174.5696,8763.8514,01-09-2014 20:16:40,,
MLB 2014/Games 01 September/NYM @ MIA,244,4205.92,4695.615000000001,3610.2582,01-09-2014 20:47:15,,
MLB 2014/Games 01 September/PHI @ ATL,236,6982.4,7563.2078,6331.4655999999995,01-09-2014 20:27:16,,
MLB 2014/Games 01 September/PIT @ STL,229,9461.380000000001,13644.99,4902.6754,01-09-2014 21:25:25,,
MLB 2014/Games 01 September/SEA @ OAK,400,27302.059999999998,35013.7958,15574.589399999999,01-09-2014 22:39:59,,
MLB 2014/Games 01 September/SF @ COL (Game 2),266,9482.5,8211.623399999999,9255.611,02-09-2014 01:36:12,,
MLB 2014/Games 01 September/TEX @ KC,395,25974.62,33717.14,9920.2616,02-09-2014 02:44:08,,
MLB 2014/Games 01 September/WSH @ LAD,673,33558.9,24413.853,40952.079,02-09-2014 02:24:19,,
MLB 2014/Games 02 September/ARI @ SD,432,15209.8,16934.4814,13162.3262,03-09-2014 04:43:21,,
MLB 2014/Games 02 September/BOS @ NYY,520,17985.92,10692.7262,22926.5012,03-09-2014 02:40:11,,
MLB 2014/Games 02 September/CIN @ BAL,530,19098.559999999998,23078.806800000002,13703.5798,03-09-2014 04:20:44,,
MLB 2014/Games 02 September/CWS @ MIN,142,2081.44,1094.3094,3000.6202,03-09-2014 03:47:43,,
MLB 2014/Games 02 September/DET @ CLE,295,9402.800000000001,15524.5382,4127.5898,03-09-2014 03:01:27,,
MLB 2014/Games 02 September/LAA @ HOU,241,9618.36,5365.786400000001,13606.3924,03-09-2014 03:29:28,,
MLB 2014/Games 02 September/MIL @ CHC,432,21801.7,10453.717999999999,32556.3284,03-09-2014 02:15:36,,
MLB 2014/Games 02 September/NYM @ MIA,305,9678.36,11292.5156,7937.1242,03-09-2014 02:22:36,,
MLB 2014/Games 02 September/PHI @ ATL,278,11785.92,5883.5468,16074.765599999999,03-09-2014 02:11:57,,
MLB 2014/Games 02 September/PIT @ STL,264,14814.58,11057.77,18488.2924,03-09-2014 03:25:07,,
MLB 2014/Games 02 September/SEA @ OAK,340,6182.38,4448.080199999999,7703.771,03-09-2014 04:51:56,,
MLB 2014/Games 02 September/SF @ COL,228,6472.139999999999,7264.0412,5919.3748,03-09-2014 04:21:10,,
MLB 2014/Games 02 September/TEX @ KC,199,5024.5,4916.5896,5008.5882,03-09-2014 03:13:35,,
MLB 2014/Games 02 September/TOR @ TB,236,7429.860000000001,5495.3678,8532.833200000001,03-09-2014 02:19:43,,
MLB 2014/Games 02 September/WSH @ LAD,391,18964.92,21242.0228,13911.362799999999,03-09-2014 04:53:59,,
MLB 2014/Games 03 September/ARI @ SD,649,17986.32,10162.9074,29225.906199999998,04-09-2014 04:53:26,,
MLB 2014/Games 03 September/BOS @ NYY,1397,17610.94,19254.0032,17768.725000000002,04-09-2014 02:27:30,,
MLB 2014/Games 03 September/CIN @ BAL,337,9928.4,9263.8228,10447.1888,04-09-2014 01:48:58,,
MLB 2014/Games 03 September/CWS @ MIN,235,11707.199999999999,12975.6692,10486.7974,04-09-2014 03:45:19,,
MLB 2014/Games 03 September/DET @ CLE,327,8381.34,6789.084000000001,10976.447400000001,04-09-2014 01:53:10,,
MLB 2014/Games 03 September/LAA @ HOU,381,33972.4,20211.1966,44577.137800000004,04-09-2014 02:57:15,,
MLB 2014/Games 03 September/MIL @ CHC,359,26933.78,10195.5094,42158.369999999995,04-09-2014 03:05:20,,
MLB 2014/Games 03 September/NYM @ MIA,267,8514.6,8497.1898,8732.6544,04-09-2014 02:25:54,,
MLB 2014/Games 03 September/PHI @ ATL,353,23074.36,32324.508800000003,7244.175,03-09-2014 19:31:53,,
