FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
MLB 2014/Games 01 September/ARI @ SD,240,6517.1,6442.825,6539.2218,1/9/14 23:20,USA,"San Diego, California"
MLB 2014/Games 01 September/BOS @ TB,241,4689.08,3791.1308,5558.6152,1/9/14 20:46,USA,"St. Petersburg, Florida"
MLB 2014/Games 01 September/DET @ CLE,415,30344.7,40520.9854,20217.5316,1/9/14 23:45,USA,"Cleveland, Ohio"
MLB 2014/Games 01 September/MIL @ CHC,247,4404.3,3490.5716,5118.3414,1/9/14 21:12,USA,"Chicago, Illinois"
MLB 2014/Games 01 September/MIN @ BAL,362,7521.48,6174.5696,8763.8514,1/9/14 20:16,USA,"Baltimore, Maryland"
MLB 2014/Games 01 September/NYM @ MIA,244,4205.92,4695.615,3610.2582,1/9/14 20:47,USA,"Miami, Florida"
MLB 2014/Games 01 September/PHI @ ATL,236,6982.4,7563.2078,6331.4656,1/9/14 20:27,USA,"Cumberland, Georgia"
MLB 2014/Games 01 September/PIT @ STL,229,9461.38,13644.99,4902.6754,1/9/14 21:25,USA,"St. Louis, Missouri"
MLB 2014/Games 01 September/SEA @ OAK,400,27302.06,35013.7958,15574.5894,1/9/14 22:39,USA,"Oakland, California"
MLB 2014/Games 01 September/SF @ COL (Game 2),266,9482.5,8211.6234,9255.611,2/9/14 1:36,USA,"Denver, Colorado"
MLB 2014/Games 01 September/TEX @ KC,395,25974.62,33717.14,9920.2616,2/9/14 2:44,USA,"Kansas City, Missouri"
MLB 2014/Games 01 September/WSH @ LAD,673,33558.9,24413.853,40952.079,2/9/14 2:24,USA,"Los Angeles, California"
MLB 2014/Games 02 September/ARI @ SD,432,15209.8,16934.4814,13162.3262,3/9/14 4:43,USA,"San Diego, California"
MLB 2014/Games 02 September/BOS @ NYY,520,17985.92,10692.7262,22926.5012,3/9/14 2:40,USA,"Bronx, New York"
