FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
Asean Basketball League 2014/Fixtures 03 September/Indonesia Warriors v Singapore Slingers,63,4331.36,3540.4626,1421.2626,03-09-2014 13:51:39,,
Asean Basketball League 2014/Fixtures 03 September/Laskar Dreya v Bangkok City,40,913.0,905.965,42.558400000000006,03-09-2014 14:02:40,,
Asean Basketball League 2014/Fixtures 05 September/Malaysia Dragons v Laskar Dreya,81,7056.3,7249.2908,413.75000000000006,05-09-2014 13:53:45,,
Asean Basketball League 2014/Fixtures 06 September/Indonesia Warriors v Bangkok City,288,6905.98,6859.114799999999,3237.9460000000004,06-09-2014 10:51:32,,
Asean Basketball League 2014/Fixtures 07 September/Saigon Heat v Malaysia Dragons,305,11263.3,7186.3722,9446.9928,07-09-2014 13:07:26,,
Club Friendlies 2014/Fixtures 05 September/Bourg en Bresse v Strasbourg,36,626.88,638.6333999999999,18.256000000000004,05-09-2014 20:47:50,,
Club Friendlies 2014/Fixtures 05 September/Chalon Saone v Lyon,48,592.2,521.9648,235.5474,05-09-2014 18:12:12,,
Club Friendlies 2014/Fixtures 05 September/Prostejov v Svitavy,24,308.71999999999997,313.7342,62.88,05-09-2014 18:38:15,,
Club Friendlies 2014/Fixtures 05 September/Rouen v Le Havre,35,1085.52,1079.5874000000001,327.46119999999996,05-09-2014 17:57:15,,
Club Friendlies 2014/Fixtures 06 September/AENK v Apollon Patras,39,684.66,879.5172,101.0682,06-09-2014 17:40:28,,
Club Friendlies 2014/Fixtures 06 September/Brose v Artland,19,394.35999999999996,368.814,33.3336,06-09-2014 19:33:35,,
Club Friendlies 2014/Fixtures 06 September/Gottingen v Bayern Munchen,16,313.59999999999997,286.4388,33.3336,06-09-2014 19:32:32,,
Club Friendlies 2014/Fixtures 06 September/Phoenix Hagen v Bonn,22,847.04,626.092,710.1514000000001,06-09-2014 16:55:52,,
FIBA Basketball World Cup 2014/Fixtures 01 September/Argentina v Philippines,4868,486304.56,539535.7418,129177.0542,01-09-2014 17:12:48,,
FIBA Basketball World Cup 2014/Fixtures 01 September/Brazil v Spain,2868,220997.76,222045.2622,114963.4334,01-09-2014 21:37:44,,
FIBA Basketball World Cup 2014/Fixtures 01 September/Croatia v Senegal,7018,464904.27999999997,325104.1002,472035.4092,01-09-2014 12:32:15,,
FIBA Basketball World Cup 2014/Fixtures 01 September/France v Egypt,1082,128153.62000000001,132320.61740000002,23692.9186,01-09-2014 17:46:06,,
FIBA Basketball World Cup 2014/Fixtures 01 September/Iran v Serbia,3747,362316.07,372049.79730000003,243230.063,01-09-2014 15:25:01,,
FIBA Basketball World Cup 2014/Fixtures 01 September/Puerto Rico v Greece,3347,354413.58999999997,368057.2709,123017.4426,01-09-2014 20:09:51,,
FIBA Basketball World Cup 2014/Fixtures 02 September/Angola v Mexico,3897,251160.48,248421.7724,163162.6752,02-09-2014 13:17:30,,
FIBA Basketball World Cup 2014/Fixtures 02 September/Australia v Lithuania,8007,608689.45,676425.0294,284187.3196,02-09-2014 17:18:00,,
FIBA Basketball World Cup 2014/Fixtures 02 September/Finland v Dominican Republic,5953,527269.27,523823.99079999997,228445.791,02-09-2014 21:31:23,,
FIBA Basketball World Cup 2014/Fixtures 02 September/South Korea v Slovenia,3367,480500.39,489803.6627,197042.7536,02-09-2014 19:48:47,,
FIBA Basketball World Cup 2014/Fixtures 02 September/USA v New Zealand,2005,285463.45,272822.43720000004,328870.002,02-09-2014 17:16:20,,
FIBA Basketball World Cup 2014/Fixtures 02 September/Ukraine v Turkey,4644,355487.71,328256.2397,223346.69,02-09-2014 14:35:52,,
FIBA Basketball World Cup 2014/Fixtures 03 September/Dominican Republic v USA,1826,118840.36,119661.08660000001,449422.2388,03-09-2014 21:12:23,,
FIBA Basketball World Cup 2014/Fixtures 03 September/Egypt v Iran,1660,169437.32,178720.244,69865.289,03-09-2014 15:14:13,,
FIBA Basketball World Cup 2014/Fixtures 03 September/Greece v Croatia,3475,768960.38,862140.6004,177114.71899999998,03-09-2014 19:45:26,,
FIBA Basketball World Cup 2014/Fixtures 03 September/Lithuania v South Korea,1170,302960.29,305731.7317,93604.334,03-09-2014 19:37:25,,
FIBA Basketball World Cup 2014/Fixtures 03 September/Mexico v Australia,2021,143144.85,147856.2632,145079.6376,03-09-2014 13:28:30,,
FIBA Basketball World Cup 2014/Fixtures 03 September/New Zealand v Ukraine,2792,220547.72,227661.8798,159475.3904,03-09-2014 14:47:11,,
FIBA Basketball World Cup 2014/Fixtures 03 September/Philippines v Puerto Rico,4244,375460.76,335394.8782,579404.8326,03-09-2014 13:27:13,,
FIBA Basketball World Cup 2014/Fixtures 03 September/Senegal v Argentina,1071,143674.2,152367.3006,25981.432800000002,03-09-2014 17:26:09,,
FIBA Basketball World Cup 2014/Fixtures 03 September/Serbia v Brazil,3340,249485.52,248777.6282,138377.9848,03-09-2014 18:11:51,,
FIBA Basketball World Cup 2014/Fixtures 03 September/Slovenia v Angola,2422,169504.22,189343.336,58105.6836,03-09-2014 17:27:42,,
FIBA Basketball World Cup 2014/Fixtures 03 September/Spain v France,2636,243342.7,261384.36070000002,83068.31999999999,03-09-2014 20:46:53,,
FIBA Basketball World Cup 2014/Fixtures 03 September/Turkey v Finland,6944,689065.11,479767.0246,603965.8702,03-09-2014 17:43:47,,
FIBA Basketball World Cup 2014/Fixtures 04 September/Argentina v Greece,3974,303687.77,315797.0527,188708.4686,04-09-2014 21:42:20,,
FIBA Basketball World Cup 2014/Fixtures 04 September/Australia v Angola,4279,421505.48,248474.687,381486.346,04-09-2014 13:30:51,,
FIBA Basketball World Cup 2014/Fixtures 04 September/Brazil v Egypt,711,90357.89,95024.7353,49375.5874,04-09-2014 15:10:45,,
FIBA Basketball World Cup 2014/Fixtures 04 September/Croatia v Puerto Rico,1241,354432.98,373240.6092,66828.9806,04-09-2014 17:58:16,,
FIBA Basketball World Cup 2014/Fixtures 04 September/Finland v New Zealand,5049,519767.44,519299.5426,305751.4888,04-09-2014 15:12:33,,
FIBA Basketball World Cup 2014/Fixtures 04 September/Iran v France,2707,228634.85,250318.7189,60944.4232,04-09-2014 17:43:39,,
FIBA Basketball World Cup 2014/Fixtures 04 September/Lithuania v Slovenia,5477,388790.81,299094.0929,336654.861,04-09-2014 21:22:10,,
FIBA Basketball World Cup 2014/Fixtures 04 September/Senegal v Philippines,4127,366946.06,406258.3374,275557.1598,04-09-2014 14:21:47,,
FIBA Basketball World Cup 2014/Fixtures 04 September/Serbia v Spain,1448,140120.92,135655.23140000002,199641.5562,04-09-2014 21:55:28,,
FIBA Basketball World Cup 2014/Fixtures 04 September/South Korea v Mexico,1412,196676.25,209082.9142,58044.851800000004,04-09-2014 17:05:16,,
FIBA Basketball World Cup 2014/Fixtures 04 September/Turkey v Dominican Republic,2008,189686.91,235493.74850000002,63097.6494,04-09-2014 21:02:22,,
FIBA Basketball World Cup 2014/Fixtures 04 September/Ukraine v USA,1936,376195.94,380823.5712,259524.715,04-09-2014 15:56:26,,
FIBA Basketball World Cup 2014/Fixtures 06 September/Dominican Republic v Slovenia,3720,445850.22000000003,498760.4588,99413.9976,06-09-2014 19:52:44,,
FIBA Basketball World Cup 2014/Fixtures 06 September/France v Croatia,5015,548831.54,604996.5768,224709.9628,06-09-2014 17:53:44,,
FIBA Basketball World Cup 2014/Fixtures 06 September/Spain v Senegal,2583,121596.52,120565.8426,487831.3986,06-09-2014 21:43:42,,
FIBA Basketball World Cup 2014/Fixtures 06 September/USA v Mexico,1934,151498.32,153712.8352,506644.971,06-09-2014 14:39:57,,
FIBA Basketball World Cup 2014/Fixtures 07 September/Brazil v Argentina,4834,500393.34,608787.5458,237385.8518,07-09-2014 21:40:28,,
FIBA Basketball World Cup 2014/Fixtures 07 September/New Zealand v Lithuania,4875,942775.72,1032358.3224000001,333685.47520000004,07-09-2014 16:04:56,,
FIBA Basketball World Cup 2014/Fixtures 07 September/Serbia v Greece,6520,855185.7,581187.7856000001,897901.735,07-09-2014 17:44:55,,
FIBA Basketball World Cup 2014/Fixtures 07 September/Turkey v Australia,6566,818514.23,239120.6393,987584.3826,07-09-2014 20:26:12,,
FIBA Basketball World Cup 2014/Fixtures 31 August/Spain v Egypt,2,79.14,80.7228,0.0,01-09-2014 08:28:19,,
FIBA Basketball World Cup 2014/Fixtures 31 August/Turkey v USA,6,90.22,80.7228,49.08,01-09-2014 08:28:19,,
International Friendlies 2014/Fixtures 05 September/Spain (W) v Japan (W),72,1978.73,2051.2043,852.1020000000001,05-09-2014 18:40:53,,
International Friendlies 2014/Fixtures 06 September/Spain (W) v Angola (W),44,4203.48,5287.397800000001,3361.5616,06-09-2014 18:37:28,,
WNBA 2014/Fixtures 01 September/Indiana @ Chicago,4002,284057.0,224246.032,242430.9646,01-09-2014 22:53:34,,
WNBA 2014/Fixtures 02 September/Minnesota @ Phoenix,1298,65069.68,75256.3506,25319.5432,03-09-2014 03:59:32,,
WNBA 2014/Fixtures 03 September/Chicago @ Indiana,1540,92774.7,87965.189,58837.8264,04-09-2014 01:07:31,,
WNBA 2014/Games 07 September/Chicago @ Phoenix,274,6821.78,7114.950000000001,3630.9224,07-09-2014 21:28:37,,
