FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
Asean Basketball League 2014/Fixtures 03 September/Indonesia Warriors v Singapore Slingers,63,4331.36,3540.4626,1421.2626,3/9/14 13:51,Thailand,"	Din Daeng, Bangkok"
Asean Basketball League 2014/Fixtures 03 September/Laskar Dreya v Bangkok City,40,913,905.965,42.5584,3/9/14 14:02,Thailand,"	Din Daeng, Bangkok"
Asean Basketball League 2014/Fixtures 05 September/Malaysia Dragons v Laskar Dreya,81,7056.3,7249.2908,413.75,5/9/14 13:53,Malaysia,Kuala Lumpur
Asean Basketball League 2014/Fixtures 06 September/Indonesia Warriors v Bangkok City,288,6905.98,6859.1148,3237.946,6/9/14 10:51,Malaysia,Kuala Lumpur
Asean Basketball League 2014/Fixtures 07 September/Saigon Heat v Malaysia Dragons,305,11263.3,7186.3722,9446.9928,7/9/14 13:07,Malaysia,Kuala Lumpur
Club Friendlies 2014/Fixtures 05 September/Bourg en Bresse v Strasbourg,36,626.88,638.6334,18.256,5/9/14 20:47,France,Bourg-en-Bresse
Club Friendlies 2014/Fixtures 05 September/Chalon Saone v Lyon,48,592.2,521.9648,235.5474,5/9/14 18:12,France,Chalon-sur-Sa™ne
Club Friendlies 2014/Fixtures 05 September/Prostejov v Svitavy,24,308.72,313.7342,62.88,5/9/14 18:38,Czech Republic,Prost_jov
Club Friendlies 2014/Fixtures 05 September/Rouen v Le Havre,35,1085.52,1079.5874,327.4612,5/9/14 17:57,France,Rouen
Club Friendlies 2014/Fixtures 06 September/AENK v Apollon Patras,39,684.66,879.5172,101.0682,6/9/14 17:40,Greence,Kifisia
Club Friendlies 2014/Fixtures 06 September/Brose v Artland,19,394.36,368.814,33.3336,6/9/14 19:33,Germany, Bamberg
Club Friendlies 2014/Fixtures 06 September/Gottingen v Bayern Munchen,16,313.6,286.4388,33.3336,6/9/14 19:32,Germany,Gšttingen
Club Friendlies 2014/Fixtures 06 September/Phoenix Hagen v Bonn,22,847.04,626.092,710.1514,6/9/14 16:55,Germany,Hagen
FIBA Basketball World Cup 2014/Fixtures 01 September/Argentina v Philippines,4868,486304.56,539535.7418,129177.0542,1/9/14 17:12,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 01 September/Brazil v Spain,2868,220997.76,222045.2622,114963.4334,1/9/14 21:37,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 01 September/Croatia v Senegal,7018,464904.28,325104.1002,472035.4092,1/9/14 12:32,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 01 September/France v Egypt,1082,128153.62,132320.6174,23692.9186,1/9/14 17:46,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 01 September/Iran v Serbia,3747,362316.07,372049.7973,243230.063,1/9/14 15:25,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 01 September/Puerto Rico v Greece,3347,354413.59,368057.2709,123017.4426,1/9/14 20:09,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 02 September/Angola v Mexico,3897,251160.48,248421.7724,163162.6752,2/9/14 13:17,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 02 September/Australia v Lithuania,8007,608689.45,676425.0294,284187.3196,2/9/14 17:18,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 02 September/Finland v Dominican Republic,5953,527269.27,523823.9908,228445.791,2/9/14 21:31,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 02 September/South Korea v Slovenia,3367,480500.39,489803.6627,197042.7536,2/9/14 19:48,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 02 September/USA v New Zealand,2005,285463.45,272822.4372,328870.002,2/9/14 17:16,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 02 September/Ukraine v Turkey,4644,355487.71,328256.2397,223346.69,2/9/14 14:35,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 03 September/Dominican Republic v USA,1826,118840.36,119661.0866,449422.2388,3/9/14 21:12,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 03 September/Egypt v Iran,1660,169437.32,178720.244,69865.289,3/9/14 15:14,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 03 September/Greece v Croatia,3475,768960.38,862140.6004,177114.719,3/9/14 19:45,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 03 September/Lithuania v South Korea,1170,302960.29,305731.7317,93604.334,3/9/14 19:37,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 03 September/Mexico v Australia,2021,143144.85,147856.2632,145079.6376,3/9/14 13:28,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 03 September/New Zealand v Ukraine,2792,220547.72,227661.8798,159475.3904,3/9/14 14:47,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 03 September/Philippines v Puerto Rico,4244,375460.76,335394.8782,579404.8326,3/9/14 13:27,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 03 September/Senegal v Argentina,1071,143674.2,152367.3006,25981.4328,3/9/14 17:26,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 03 September/Serbia v Brazil,3340,249485.52,248777.6282,138377.9848,3/9/14 18:11,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 03 September/Slovenia v Angola,2422,169504.22,189343.336,58105.6836,3/9/14 17:27,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 03 September/Spain v France,2636,243342.7,261384.3607,83068.32,3/9/14 20:46,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 03 September/Turkey v Finland,6944,689065.11,479767.0246,603965.8702,3/9/14 17:43,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 04 September/Argentina v Greece,3974,303687.77,315797.0527,188708.4686,4/9/14 21:42,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 04 September/Australia v Angola,4279,421505.48,248474.687,381486.346,4/9/14 13:30,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 04 September/Brazil v Egypt,711,90357.89,95024.7353,49375.5874,4/9/14 15:10,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 04 September/Croatia v Puerto Rico,1241,354432.98,373240.6092,66828.9806,4/9/14 17:58,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 04 September/Finland v New Zealand,5049,519767.44,519299.5426,305751.4888,4/9/14 15:12,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 04 September/Iran v France,2707,228634.85,250318.7189,60944.4232,4/9/14 17:43,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 04 September/Lithuania v Slovenia,5477,388790.81,299094.0929,336654.861,4/9/14 21:22,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 04 September/Senegal v Philippines,4127,366946.06,406258.3374,275557.1598,4/9/14 14:21,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 04 September/Serbia v Spain,1448,140120.92,135655.2314,199641.5562,4/9/14 21:55,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 04 September/South Korea v Mexico,1412,196676.25,209082.9142,58044.8518,4/9/14 17:05,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 04 September/Turkey v Dominican Republic,2008,189686.91,235493.7485,63097.6494,4/9/14 21:02,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 04 September/Ukraine v USA,1936,376195.94,380823.5712,259524.715,4/9/14 15:56,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 06 September/Dominican Republic v Slovenia,3720,445850.22,498760.4588,99413.9976,6/9/14 19:52,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 06 September/France v Croatia,5015,548831.54,604996.5768,224709.9628,6/9/14 17:53,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 06 September/Spain v Senegal,2583,121596.52,120565.8426,487831.3986,6/9/14 21:43,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 06 September/USA v Mexico,1934,151498.32,153712.8352,506644.971,6/9/14 14:39,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 07 September/Brazil v Argentina,4834,500393.34,608787.5458,237385.8518,7/9/14 21:40,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 07 September/New Zealand v Lithuania,4875,942775.72,1032358.322,333685.4752,7/9/14 16:04,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 07 September/Serbia v Greece,6520,855185.7,581187.7856,897901.735,7/9/14 17:44,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 07 September/Turkey v Australia,6566,818514.23,239120.6393,987584.3826,7/9/14 20:26,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 31 August/Spain v Egypt,2,79.14,80.7228,0,1/9/14 8:28,Spain, Madrid
FIBA Basketball World Cup 2014/Fixtures 31 August/Turkey v USA,6,90.22,80.7228,49.08,1/9/14 8:28,Spain, Madrid
International Friendlies 2014/Fixtures 05 September/Spain (W) v Japan (W),72,1978.73,2051.2043,852.102,5/9/14 18:40,Spain, Madrid
International Friendlies 2014/Fixtures 06 September/Spain (W) v Angola (W),44,4203.48,5287.3978,3361.5616,6/9/14 18:37,Spain, Madrid
WNBA 2014/Fixtures 01 September/Indiana @ Chicago,4002,284057,224246.032,242430.9646,1/9/14 22:53,USA,"Chicago, IL"
WNBA 2014/Fixtures 02 September/Minnesota @ Phoenix,1298,65069.68,75256.3506,25319.5432,3/9/14 3:59,USA,"Phoenix, Arizona"
WNBA 2014/Fixtures 03 September/Chicago @ Indiana,1540,92774.7,87965.189,58837.8264,4/9/14 1:07,USA,"Indianapolis, IN"
WNBA 2014/Games 07 September/Chicago @ Phoenix,274,6821.78,7114.95,3630.9224,7/9/14 21:28,USA,"Phoenix, Arizona"
