FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
Algerian Soccer/Ligue 1/Fixtures 06 September/ES Setif v USM Bel Abbes,1273,16644.0,12232.6506,21270.4386,06-09-2014 20:01:31,,
Anderlecht (W) v OH Leuven (W)/Asian Handicap,2,7.1,0.0,19.525,,,
Argentinian Soccer/Argentinian Primera B Metropolitana/Fixtures 01 September/Estudiantes de Caseros v CA Fenix,1693,30690.96,33057.878600000004,28235.877800000002,01-09-2014 17:37:52,,
Argentinian Soccer/Argentinian Primera B Metropolitana/Fixtures 01 September/Estudiantes de Caseros v CA Fenix/Asian Handicap,2,16.4,57.56399999999999,0.0,,,
Argentinian Soccer/Argentinian Primera B Metropolitana/Fixtures 02 September/Club Villa Dalmine v CA Atlanta,2953,37557.27,39084.1152,49958.4387,02-09-2014 01:57:39,,
Argentinian Soccer/Argentinian Primera B Metropolitana/Fixtures 02 September/Comunicaciones B Aires v CD Moron,2857,57040.17,69997.2912,74996.6418,02-09-2014 20:22:03,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 02 September/Sportivo Belgrano v Huracan,26315,580628.09,555447.5218,1156849.7312,02-09-2014 23:06:55,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 02 September/Sportivo Belgrano v Huracan/Asian Handicap,48,2270.68,3672.4916,2457.9136,,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 02 September/Sportivo Belgrano v Huracan/Total Goals,46,478.58,128.6058,5619.3156,,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September / Douglas Haig v Instituto,5916,110780.62,111061.3994,230091.1494,03-09-2014 23:50:38,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Argentinos Juniors v Aldosivi,11385,224584.0,238091.5624,400459.6109,03-09-2014 23:08:25,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Argentinos Juniors v Aldosivi/Asian Handicap,32,1817.74,1832.2938,1716.3296,,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Argentinos Juniors v Aldosivi/Total Goals,71,2668.86,630.89,9537.5756,,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Ferro Carril Oeste v Gimnasia Jujuy,9318,192632.54,196702.5858,292058.2032,03-09-2014 22:54:00,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Ferro Carril Oeste v Gimnasia Jujuy/Asian Handicap,5,87.08,5.888000000000001,158.5332,,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 04 September/Douglas Haig v Instituto/Asian Handicap,2,4.86,7.533,0.0,,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 04 September/Douglas Haig v Instituto/Total Goals,31,232.14,28.419999999999998,5066.3554,,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 06 September/Guarani AF v Argentinos Juniors,5018,106022.8,108246.43860000001,137082.7222,06-09-2014 23:55:36,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 06 September/Guarani AF v Argentinos Juniors/Total Goals,10,199.4,0.0,545.8838,,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 06 September/Huracan v Atl Tucuman,3910,102357.43,105177.7663,147525.7834,06-09-2014 20:54:18,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 06 September/Huracan v Atl Tucuman/Asian Handicap,4,498.4,658.4304000000001,74.0094,,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 06 September/Huracan v Atl Tucuman/Total Goals,10,40.0,0.0,2846.96,,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 07 September/All Boys v Union Santa Fe,4011,118548.2,110829.0856,255093.4048,07-09-2014 19:51:34,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 07 September/All Boys v Union Santa Fe/Asian Handicap,14,83.34,158.4978,43.9342,,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 07 September/All Boys v Union Santa Fe/Total Goals,2,10.84,0.0,77.0724,,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 07 September/CA Temperley v Santamarina,3919,95342.87,93972.17719999999,152064.00519999999,07-09-2014 22:53:16,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 07 September/CA Temperley v Santamarina/Total Goals,2,143.74,0.0,478.65420000000006,,,
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 07 September/Instituto v Boca Unidos,3793,70028.84,80065.633,117873.0902,07-09-2014 23:09:56,,
Argentinian Soccer/Argentinian Primera Division/Fixtures 01 September / Arsenal FC v Banfield,34227,880921.4400000001,942452.9875,1509884.9408,01-09-2014 23:31:51,,
