FULL_DESCRIPTION,SPORTS_ID,EVENT_ID,SETTLED_DATE,SCHEDULED_OFF,EVENT,DT ACTUAL_OFF,SELECTION_ID,SELECTION,ODDS,NUMBER_BETS,VOLUME_MATCHED,LATEST_TAKEN,FIRST_TAKEN,WIN_FLAG,IN_PLAY
Algerian Soccer/Ligue 1/Fixtures 06 September/ES Setif v USM Bel Abbes,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392
Anderlecht (W) v OH Leuven (W)/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Argentinian Soccer/Argentinian Primera B Metropolitana/Fixtures 01 September/Estudiantes de Caseros v CA Fenix,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493
Argentinian Soccer/Argentinian Primera B Metropolitana/Fixtures 01 September/Estudiantes de Caseros v CA Fenix/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Argentinian Soccer/Argentinian Primera B Metropolitana/Fixtures 02 September/Club Villa Dalmine v CA Atlanta,694,694,694,694,694,694,694,694,694,694,694,694,694,694,694
Argentinian Soccer/Argentinian Primera B Metropolitana/Fixtures 02 September/Comunicaciones B Aires v CD Moron,701,701,701,701,701,701,701,701,701,701,701,701,701,701,701
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 02 September/Sportivo Belgrano v Huracan,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 02 September/Sportivo Belgrano v Huracan/Asian Handicap,22,22,0,22,0,22,22,22,22,22,22,22,22,22,22
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 02 September/Sportivo Belgrano v Huracan/Total Goals,12,12,0,12,0,12,12,12,12,12,12,12,12,12,12
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September / Douglas Haig v Instituto,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Argentinos Juniors v Aldosivi,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Argentinos Juniors v Aldosivi/Asian Handicap,13,13,0,13,0,13,13,13,13,13,13,13,13,13,13
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Argentinos Juniors v Aldosivi/Total Goals,24,24,0,24,0,24,24,24,24,24,24,24,24,24,24
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Ferro Carril Oeste v Gimnasia Jujuy,1416,1416,1416,1416,1416,1416,1416,1416,1416,1416,1416,1416,1416,1416,1416
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Ferro Carril Oeste v Gimnasia Jujuy/Asian Handicap,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 04 September/Douglas Haig v Instituto/Asian Handicap,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 04 September/Douglas Haig v Instituto/Total Goals,11,11,0,11,0,11,11,11,11,11,11,11,11,11,11
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 06 September/Guarani AF v Argentinos Juniors,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 06 September/Guarani AF v Argentinos Juniors/Total Goals,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4
