FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
Algerian Soccer/Ligue 1/Fixtures 06 September/ES Setif v USM Bel Abbes,1273,16644,12232.6506,21270.4386,6/9/14 20:01,Algeria,Algiers
Anderlecht (W) v OH Leuven (W)/Asian Handicap,2,7.1,0,19.525,,Belgium,Leuven
Argentinian Soccer/Argentinian Primera B Metropolitana/Fixtures 01 September/Estudiantes de Caseros v CA Fenix,1693,30690.96,33057.8786,28235.8778,1/9/14 17:37,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Metropolitana/Fixtures 01 September/Estudiantes de Caseros v CA Fenix/Asian Handicap,2,16.4,57.564,0,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Metropolitana/Fixtures 02 September/Club Villa Dalmine v CA Atlanta,2953,37557.27,39084.1152,49958.4387,2/9/14 1:57,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Metropolitana/Fixtures 02 September/Comunicaciones B Aires v CD Moron,2857,57040.17,69997.2912,74996.6418,2/9/14 20:22,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 02 September/Sportivo Belgrano v Huracan,26315,580628.09,555447.5218,1156849.731,2/9/14 23:06,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 02 September/Sportivo Belgrano v Huracan/Asian Handicap,48,2270.68,3672.4916,2457.9136,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 02 September/Sportivo Belgrano v Huracan/Total Goals,46,478.58,128.6058,5619.3156,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September / Douglas Haig v Instituto,5916,110780.62,111061.3994,230091.1494,3/9/14 23:50,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Argentinos Juniors v Aldosivi,11385,224584,238091.5624,400459.6109,3/9/14 23:08,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Argentinos Juniors v Aldosivi/Asian Handicap,32,1817.74,1832.2938,1716.3296,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Argentinos Juniors v Aldosivi/Total Goals,71,2668.86,630.89,9537.5756,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Ferro Carril Oeste v Gimnasia Jujuy,9318,192632.54,196702.5858,292058.2032,3/9/14 22:54,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Ferro Carril Oeste v Gimnasia Jujuy/Asian Handicap,5,87.08,5.888,158.5332,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 04 September/Douglas Haig v Instituto/Asian Handicap,2,4.86,7.533,0,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 04 September/Douglas Haig v Instituto/Total Goals,31,232.14,28.42,5066.3554,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 06 September/Guarani AF v Argentinos Juniors,5018,106022.8,108246.4386,137082.7222,6/9/14 23:55,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 06 September/Guarani AF v Argentinos Juniors/Total Goals,10,199.4,0,545.8838,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 06 September/Huracan v Atl Tucuman,3910,102357.43,105177.7663,147525.7834,6/9/14 20:54,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 06 September/Huracan v Atl Tucuman/Asian Handicap,4,498.4,658.4304,74.0094,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 06 September/Huracan v Atl Tucuman/Total Goals,10,40,0,2846.96,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 07 September/All Boys v Union Santa Fe,4011,118548.2,110829.0856,255093.4048,7/9/14 19:51,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 07 September/All Boys v Union Santa Fe/Asian Handicap,14,83.34,158.4978,43.9342,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 07 September/All Boys v Union Santa Fe/Total Goals,2,10.84,0,77.0724,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 07 September/CA Temperley v Santamarina,3919,95342.87,93972.1772,152064.0052,7/9/14 22:53,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 07 September/CA Temperley v Santamarina/Total Goals,2,143.74,0,478.6542,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 07 September/Instituto v Boca Unidos,3793,70028.84,80065.633,117873.0902,7/9/14 23:09,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 01 September / Arsenal FC v Banfield,34227,880921.44,942452.9875,1509884.941,1/9/14 23:31,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 01 September / Lanus v Olimpo,28028,800329.42,709211.6494,1418902.988,1/9/14 21:58,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 01 September/San Lorenzo v River Plate,10927,264242.31,292748.6145,454936.5786,1/9/14 2:21,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 01 September/San Lorenzo v River Plate/Asian Handicap,37,2320.82,3660.4848,411.252,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 01 September/San Lorenzo v River Plate/San Lorenzo Total Goals,9,43.74,50.4574,145.4468,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 01 September/Tigre v Quilmes/Asian Handicap,10,124.92,124.3976,132.32,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 01 September/Tigre v Quilmes/Tigre Total Goals,6,28.76,0,147.6564,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 01 September/Tigre v Quilmes/Total Goals,19,702.84,0,17405.1916,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 02 September / Tigre v Quilmes,15186,342470.42,354263.7971,680886.459,2/9/14 2:21,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 02 September/Arsenal FC v Banfield/Arsenal FC Total Goals,27,380.46,0,1207.6116,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 02 September/Arsenal FC v Banfield/Asian Handicap,55,2593.48,2486.0124,2472.7814,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 02 September/Arsenal FC v Banfield/Total Goals,103,3363.8,666.2268,28006.5514,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Atletico Rafaela v Gimnasia La Plata,9521,382838.5,378306.2983,568048.4068,6/9/14 19:53,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Atletico Rafaela v Gimnasia La Plata/Asian Handicap,16,3758.24,6308.0462,880.2944,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Atletico Rafaela v Gimnasia La Plata/Total Goals,38,1027.62,4.8,9464.9142,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Estudiantes v Belgrano,14851,430506.43,379950.9414,783424.6438,6/9/14 23:05,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Estudiantes v Belgrano/Asian Handicap,93,25993.28,45427.188,2768.6876,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Estudiantes v Belgrano/Total Goals,83,2951.86,7093.8352,29584.3416,,Argentina,Buenos Aires
Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Velez v Newells,21642,753627.25,718819.3012,1290555.539,6/9/14 21:55,Argentina,Buenos Aires
