SPORTS_ID,FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY,LATITUDE,LONGITUDE,TEMPERATURE,RAIN
Golf,Group B/BMW Championship 2014,149070,4712927.68,5190165.527,80884167.49,5/9/14 17:40,USA,"Cherry Hills Village, CO",39.6416544,-104.959425,16.6,0
Golf,Group B/BMW Championship 2014/Tournament Matchbets,152,3633.26,6218.8034,595.5442,7/9/14 22:20,USA,"Cherry Hills Village, CO",39.6416544,-104.959425,27.4,0
Golf,Group B/Chiquita Classic 2014,1321,6892.82,404.88,653088.084,7/9/14 20:11,USA,"Davidson, NC",35.4992614,-80.8485218,29.2,0
Golf,Group B/Deutsche Bank Championship 2014,166663,4672132.07,3546042.886,102746429.2,1/9/14 21:53,USA,"Norton, Massachusetts",41.9667666,-71.1869939,28.3,0
Golf,Group B/Deutsche Bank Championship 2014/Tournament Matchbets,415,10449.26,15697.5224,3782.3932,1/9/14 22:08,USA,"Norton, Massachusetts",41.9667666,-71.1869939,28.3,0
Golf,Group B/European Masters 2014,73740,1383381.85,1126411.751,35498517.25,7/9/14 14:47,Switzerland,Crans-Montana,46.3304899,7.526435803722132,17.1,0
Golf,Group B/European Masters 2014/Tournament Matchbets,144,4457.3,2953.3572,5306.9752,5/9/14 18:49,Switzerland,Crans-Montana,46.3304899,7.526435803722132,11.2,0
Golf,Group B/Portland Classic 2014,182,2130.24,1903.28,27702.5014,1/9/14 1:40,USA,"Portland, Oregon",45.5202471,-122.674194,23.3,0
Golf,Group B/Quebec Championship 2014,165,1346.76,0.0,62835.56,7/9/14 21:13,Canada,"Levis, Quebec",46.8033114,-71.1778792,19.0,0
American Football,CFL 2014/Fixtures 05 September/BC @ Ottawa,126,1172.26,1296.3448,520.7488,6/9/14 2:57,Canada,Ottawa,45.4208777,-75.6901106,25.2,1
American Football,CFL 2014/Fixtures 06 September/Calgary @ Edmonton,127,4104.74,4019.4098,3773.9536,7/9/14 2:05,Canada,Edmonton,53.5462055,-113.491241,22.2,0
American Football,CFL 2014/Fixtures 07 September/Hamilton @ Montreal,52,923.9,1147.6382,608.8472,7/9/14 20:33,Canada,Montreal,45.5031824,-73.5698065,20.8,0
American Football,CFL 2014/Fixtures 07 September/Saskatchewan @ Winnipeg,46,682.7,1127.231,47.5606,7/9/14 23:08,Canada,Winnipeg,49.8955367,-97.1384584,22.5,0
American Football,CFL 2014/Week 10/Games 01 September/Edmonton @ Calgary,165,1900.26,2372.951,672.49,1/9/14 23:35,Canada,Calgary,51.0456064,-114.0575418,19.6,0
American Football,CFL 2014/Week 10/Games 01 September/Toronto @ Hamilton,123,1326.08,1063.8718,1561.1192,1/9/14 20:20,Canada,Hamilton,43.2560802,-79.8728583,27.3,0
American Football,NCAAF 2014/15/Games 01 September/Miami (FL) @ Louisville,809,30129.06,33089.2244,21369.04,2/9/14 3:27,USA,"LOUISVILLE, Ky",38.2542376,-85.759407,25.1,0
American Football,NCAAF 2014/15/Games 04 September/Arizona @ UTSA,182,4140.24,2569.8176,5028.2042,5/9/14 3:38,USA,"San Antonio, TX",29.4246002,-98.4951405,27.4,0
American Football,NCAAF 2014/15/Games 05 September/Pittsburgh @ Boston College,643,25819.66,27672.5482,23030.2162,6/9/14 2:32,USA,"Chestnut Hill, MA",42.3306529,-71.1661647,23.0,0
American Football,NCAAF 2014/15/Games 05 September/Washington State @ Nevada,279,9387.22,2385.2664,14485.5052,6/9/14 6:19,USA,"Reno, Nevada",39.5261206,-119.8126581,25.0,0
American Football,NCAAF 2014/15/Games 06 September/Arizona State @ New Mexico,51,338.3,389.092,237.878,7/9/14 2:49,USA,"Las Cruces, NM",32.3140354,-106.779807,22.3,0
American Football,NCAAF 2014/15/Games 06 September/Citadel @ Florida State,17,989.82,327.2458,1138.89,7/9/14 2:37,USA,"Tallahassee, FL 32306",30.44245542,-84.299117486,25.1,0
American Football,NCAAF 2014/15/Games 06 September/Colorado State @ Boise State,166,5857.49,8678.7529,1649.6926,7/9/14 6:12,USA,"Boise, ID",43.6166163,-116.200886,21.4,0
American Football,NCAAF 2014/15/Games 06 September/East Carolina @ South Carolina,82,1189.36,1000.5814,1292.2266,7/9/14 2:29,USA,"Columbia, SC",34.0007493,-81.0343313,27.4,0
American Football,NCAAF 2014/15/Games 06 September/Eastern Washington @ Washington,21,115.96,50.2384,150.8916,6/9/14 22:48,USA,"Pullman, WA",46.7304268,-117.173895,28.4,0
American Football,NCAAF 2014/15/Games 06 September/Florida Atlantic @ Alabama,48,813.62,913.1464,601.7966,6/9/14 19:16,USA,"Tuscaloosa, Alabama",33.2095614,-87.5675258,29.9,1
American Football,NCAAF 2014/15/Games 06 September/Kansas State @ Iowa State,154,2446.64,1196.0516,3743.2694,6/9/14 19:46,USA,"Ames, Iowa",42.0267567,-93.6170448,20.7,0
American Football,NCAAF 2014/15/Games 06 September/Lamar @ Texas AM,26,242.12,605.8708,0.0,7/9/14 5:14,USA,"College Station, TX",30.5955289,-96.3071042,28.6,0
American Football,NCAAF 2014/15/Games 06 September/McNeese State @ Nebraska,32,1225.92,1243.6982,751.3526,6/9/14 19:28,USA,"Lincoln, Nebraska",40.8088861,-96.7077751,19.8,0
American Football,NCAAF 2014/15/Games 06 September/Memphis @ UCLA,159,6437.7,8665.3406,2583.4618,7/9/14 5:27,USA,"Pasadena, California",34.1476507,-118.1441551,26.6,0
American Football,NCAAF 2014/15/Games 06 September/Michigan @ Notre Dame,418,11306.8,7593.7178,14658.703,7/9/14 2:59,USA,"Notre Dame, Indiana",41.6992003,-86.2373691,15.8,0
American Football,NCAAF 2014/15/Games 06 September/Michigan State @ Oregon,603,19804.01,17632.4389,25453.762,7/9/14 2:05,USA,"Eugene, Oregon",44.0505054,-123.0950506,29.9,0
American Football,NCAAF 2014/15/Games 06 September/Missouri @ Toledo,199,7808.16,13088.9126,764.3512,6/9/14 19:42,USA,"Toledo, Ohio",41.6529143,-83.5378173,22.9,0
American Football,NCAAF 2014/15/Games 06 September/Northwestern State @ Baylor,12,22.1,24.9492,0.0,7/9/14 3:06,USA,"Waco, TX",31.5491899,-97.1474628,30.8,0
American Football,NCAAF 2014/15/Games 06 September/Oklahoma @ Tulsa,169,3719.34,5971.5802,545.2388,6/9/14 19:30,USA,"Tulsa, Oklahoma",36.1563122,-95.9927516,29.3,0
American Football,NCAAF 2014/15/Games 06 September/Ole Miss @ Vanderbilt,110,8287.04,13323.7062,2791.0918,6/9/14 23:45,USA,"Nashville, Tennessee",36.1622767,-86.7742984,25.4,0
American Football,NCAAF 2014/15/Games 06 September/Sam Houston State @ LSU,16,126.31,206.9523,0.0,7/9/14 2:52,USA,"Baton Rouge, Louisiana",30.4494155,-91.1869659,26.6,0
American Football,NCAAF 2014/15/Games 06 September/San Diego State @ North Carolina,33,255.68,280.9336,181.2522,7/9/14 3:29,USA,"Chapel Hill, NC",35.9131542,-79.05578,25.5,0
American Football,NCAAF 2014/15/Games 06 September/San Jose State @ Auburn,148,11469.8,9497.7276,12727.4892,7/9/14 2:31,USA,"Auburn, Ala",32.6098566,-85.4807825,26.4,0
American Football,NCAAF 2014/15/Games 06 September/South Carolina State @ Clemson,31,1404.0,1523.5916,448.0,6/9/14 19:46,USA,"Clemson, South Carolina",34.6850749,-82.8364111,31.4,0
American Football,NCAAF 2014/15/Games 06 September/USC @ Stanford,1381,70272.1,61030.9516,69361.5152,6/9/14 22:51,USA,"Stanford, California",37.427467,-122.1702445,24.7,0
American Football,NCAAF 2014/15/Games 06 September/Virginia Tech @ Ohio State,416,18985.16,13964.8518,16406.9628,7/9/14 3:57,USA,"Columbus, Ohio",39.9622601,-83.0007065,18.5,0
American Football,NCAAF 2014/15/Games 06 September/Western Illinois @ Wisconsin,22,355.66,352.6948,674.0,6/9/14 19:03,USA,"Madison, WI",43.074761,-89.3837613,21.1,0
American Football,NCAAF 2014/15/Games 31 August/SMU @ Baylor,136,7746.9,10707.8652,3160.278,1/9/14 4:09,USA,"Waco, TX",31.5491899,-97.1474628,28.4,0
American Football,NCAAF 2014/15/Games 31 August/Utah St @ Tennessee,484,18977.96,18569.3842,18339.2448,1/9/14 2:44,USA,"Knoxville, Tennessee",35.9603948,-83.9210261,24.8,0
American Football,NFL Season 2014/15/Week 1/Games 04 September/Green Bay @ Seattle,9858,1275584.84,1601236.738,785481.3222,5/9/14 3:26,USA,"Seattle, Washington",47.6038321,-122.330062,18.4,0
American Football,NFL Season 2014/15/Week 1/Games 07 September/Buffalo @ Chicago,1751,89274.32,52149.1816,105992.8718,7/9/14 20:29,USA,"Chicago, IL",41.8755616,-87.6244212,23.6,0
American Football,NFL Season 2014/15/Week 1/Games 07 September/Carolina @ Tampa Bay,3920,281730.4,229872.8834,215344.914,7/9/14 23:22,USA,"Tampa Bay, FL",27.6886419,-82.5723193,28.5,0
American Football,NFL Season 2014/15/Week 1/Games 07 September/Cincinnati @ Baltimore,1564,57446.48,59420.3626,51412.3116,7/9/14 20:23,USA,"Baltimore, MD",39.2908816,-76.610759,25.2,0
