FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
Group A/Alphen Challenger 2014/First Round Matches/Coppejans v de Bakker,4561,150313.6,139224.4454,119163.6046,02-09-2014 18:51:18,,
Group A/Alphen Challenger 2014/First Round Matches/G Granollers v Androic,3709,199985.68,213980.647,122596.14940000001,03-09-2014 15:14:37,,
Group A/Alphen Challenger 2014/First Round Matches/Garanganga v Giustino,1050,68465.4,75375.9638,15987.0176,02-09-2014 12:33:33,,
Group A/Alphen Challenger 2014/First Round Matches/Gimeno-Traver v Donati,2444,268465.58,289116.2668,52752.1718,02-09-2014 14:53:33,,
Group A/Alphen Challenger 2014/First Round Matches/Hanescu v De Greef,1209,124856.94,133359.9194,21998.3824,03-09-2014 13:59:44,,
Group A/Alphen Challenger 2014/First Round Matches/Koolhof v Sijsling,2596,223067.24,258887.6206,198691.06519999998,03-09-2014 13:06:13,,
Group A/Alphen Challenger 2014/First Round Matches/Lamasine v Carballes Baena,3170,162180.73,129692.2994,130668.2227,02-09-2014 16:05:15,,
Group A/Alphen Challenger 2014/First Round Matches/Mat Viola v Munoz-De La Nava,1139,59823.26,72159.4302,17408.9222,02-09-2014 13:35:22,,
Group A/Alphen Challenger 2014/First Round Matches/Mektic v Sels,2085,158375.26,138778.5332,76304.2916,02-09-2014 12:47:12,,
Group A/Alphen Challenger 2014/First Round Matches/Middelkoop v Podlipnik-Castillo,1369,74740.32,95301.62000000001,30192.1662,03-09-2014 11:49:06,,
Group A/Alphen Challenger 2014/First Round Matches/R Haase v Ramirez Hidalgo,877,131453.28,141042.44640000002,151921.812,03-09-2014 18:04:10,,
Group A/Alphen Challenger 2014/First Round Matches/S Diez v Huta Galung,1121,66420.08,70724.3614,13760.2996,03-09-2014 16:40:56,,
Group A/Alphen Challenger 2014/First Round Matches/Torebko v M Baumann,713,39436.98,34052.0,38158.7156,03-09-2014 16:46:00,,
Group A/Alphen Challenger 2014/First Round Matches/Westerhof v Cervantes,745,37197.58,43215.326,14495.0306,03-09-2014 12:20:34,,
Group A/Alphen Challenger 2014/First Round Matches/Wunner v Van Der Duim,2190,94119.08,84651.153,66627.3564,03-09-2014 13:39:59,,
Group A/Alphen Challenger 2014/First Round Matches/Y Mertens v Michon,599,45821.18,49012.5972,9231.7576,02-09-2014 11:38:42,,
Group A/Alphen Challenger 2014/Quarter Final Matches/Gimeno-Traver v Lamasine,6560,430604.46,382743.2142,361717.317,05-09-2014 14:47:48,,
Group A/Alphen Challenger 2014/Quarter Final Matches/Hanescu v Coppejans,4240,305106.76,339987.558,141671.9082,05-09-2014 17:40:29,,
Group A/Alphen Challenger 2014/Quarter Final Matches/Huta Galung v Van Der Duim,1285,77971.23,81984.9473,22969.676,05-09-2014 12:53:16,,
Group A/Alphen Challenger 2014/Quarter Final Matches/Munoz-De La Nava v Sijsling,1751,112850.24,129278.8498,31457.7584,05-09-2014 19:15:49,,
Group A/Alphen Challenger 2014/Second Round Matches/Gimeno-Traver v Androic,710,64864.12,66974.3912,26987.767,04-09-2014 11:47:04,,
Group A/Alphen Challenger 2014/Second Round Matches/Giustino v Coppejans,327,10569.039999999999,11868.3566,4872.9284,04-09-2014 12:58:49,,
Group A/Alphen Challenger 2014/Second Round Matches/Hanescu v Middelkoop,1937,219218.94,238701.7114,14328.6108,04-09-2014 17:06:37,,
Group A/Alphen Challenger 2014/Second Round Matches/M Baumann v Lamasine,1013,55779.22,55741.89,20248.7904,04-09-2014 14:32:13,,
Group A/Alphen Challenger 2014/Second Round Matches/Munoz-De La Nava v Westerhof,957,65480.38,73935.70360000001,17570.5294,04-09-2014 12:17:52,,
Group A/Alphen Challenger 2014/Second Round Matches/R Haase v Huta Galung,5403,291000.96,185875.3218,300120.0804,04-09-2014 15:21:37,,
Group A/Alphen Challenger 2014/Second Round Matches/Sels v Sijsling,949,138744.79,143266.9163,120279.6,04-09-2014 19:36:17,,
Group A/Alphen Challenger 2014/Second Round Matches/Van Der Duim v Michon,1602,99846.28,110703.2348,50335.6006,04-09-2014 13:08:42,,
Group A/Alphen Challenger 2014/Semi Final Matches/Hanescu v Munoz-De La Nava,7165,376148.64,421342.7096,185052.5988,06-09-2014 15:45:56,,
Group A/Alphen Challenger 2014/Semi Final Matches/Huta Galung v Lamasine,2290,138575.23,152477.5026,57440.928400000004,06-09-2014 12:51:58,,
Group A/Alphen Challenger 2014/The Final/Huta Galung v Munoz-De La Nava,4688,419268.52,482640.1216,144746.4824,07-09-2014 13:40:25,,
Group A/Brasov Challenger 2014/First Round Matches/A Haider-Maurer v Lopez-Perez,808,66520.76000000001,68791.73120000001,14498.29,03-09-2014 11:30:44,,
Group A/Brasov Challenger 2014/First Round Matches/A Ungur v Crivoi,2126,220989.72,244569.05899999998,101127.4358,03-09-2014 15:03:48,,
Group A/Brasov Challenger 2014/First Round Matches/Bourgue v F Arguello,1116,53256.22,51222.843199999996,27197.816600000002,02-09-2014 12:10:01,,
Group A/Brasov Challenger 2014/First Round Matches/Copil v Krstin,774,47783.89,54082.8153,18294.8962,03-09-2014 11:58:23,,
Group A/Brasov Challenger 2014/First Round Matches/Dima v J Pospisil,734,40016.75,42148.440500000004,18789.328999999998,03-09-2014 13:30:41,,
Group A/Brasov Challenger 2014/First Round Matches/Fortuna v Ciorcila,116,4549.76,3592.7574,4243.628000000001,03-09-2014 13:25:59,,
Group A/Brasov Challenger 2014/First Round Matches/G Melzer v M Jankovic,1960,149059.8,175356.3002,29632.536,02-09-2014 09:35:12,,
Group A/Brasov Challenger 2014/First Round Matches/Grigelis v Pouille,6060,308678.98,284702.782,205519.7658,02-09-2014 10:22:05,,
Group A/Brasov Challenger 2014/First Round Matches/J Eysseric v Karatsev,2816,163197.32,130983.7962,166237.9412,03-09-2014 11:35:26,,
Group A/Brasov Challenger 2014/First Round Matches/Luncanu v Cornea,627,67550.70999999999,70505.7314,14190.89,02-09-2014 13:52:11,,
Group A/Brasov Challenger 2014/First Round Matches/Machado v Mertl,2768,172820.61000000002,190637.3137,54623.4874,03-09-2014 10:15:20,,
Group A/Brasov Challenger 2014/First Round Matches/R Marcora v Riba,3312,286916.1,193517.2524,243757.8746,03-09-2014 09:32:38,,
Group A/Brasov Challenger 2014/First Round Matches/Reuter v Torroni,1155,49435.26,54180.5706,12662.5806,03-09-2014 08:47:21,,
Group A/Brasov Challenger 2014/First Round Matches/Rodriguez - Pace v Buchanan,418,47708.2,54695.8272,10426.1392,02-09-2014 11:35:11,,
Group A/Brasov Challenger 2014/First Round Matches/Rudnev v Sikora,1397,78566.64,68483.5484,66766.5606,02-09-2014 09:59:52,,
Group A/Brasov Challenger 2014/First Round Matches/Rufin v Cipolla,1012,79582.48,82268.1662,21520.6046,02-09-2014 12:31:37,,
Group A/Brasov Challenger 2014/Quarter Final Matches/A Haider-Maurer v Luncanu,1464,310231.54000000004,331134.77640000003,67028.893,05-09-2014 14:21:25,,
Group A/Brasov Challenger 2014/Quarter Final Matches/A Ungur v J Pospisil,5387,373330.06,434660.2346,113748.9412,05-09-2014 12:51:03,,
Group A/Brasov Challenger 2014/Quarter Final Matches/Karatsev v Sikora,4583,379291.82,452034.5602,70839.4468,05-09-2014 09:52:23,,
Group A/Brasov Challenger 2014/Quarter Final Matches/Rufin v Grigelis,5763,512500.02999999997,565103.7926,119275.6498,05-09-2014 09:14:45,,
Group A/Brasov Challenger 2014/Second Round Matches/A Haider-Maurer v Reuter,3606,279012.59,297355.8148,248476.7438,04-09-2014 10:48:48,,
Group A/Brasov Challenger 2014/Second Round Matches/A Ungur v Machado,1469,86029.76,93098.3976,36308.9566,04-09-2014 12:40:06,,
Group A/Brasov Challenger 2014/Second Round Matches/Copil v Karatsev,2129,138115.25,146906.9322,55869.851,04-09-2014 11:50:25,,
