FULL_DESCRIPTION,SPORTS_ID,EVENT_ID,SETTLED_DATE,SCHEDULED_OFF,EVENT,DT ACTUAL_OFF,SELECTION_ID,SELECTION,ODDS,NUMBER_BETS,VOLUME_MATCHED,LATEST_TAKEN,FIRST_TAKEN,WIN_FLAG,IN_PLAY
Group A/Alphen Challenger 2014/First Round Matches/Coppejans v de Bakker,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351
Group A/Alphen Challenger 2014/First Round Matches/G Granollers v Androic,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Group A/Alphen Challenger 2014/First Round Matches/Garanganga v Giustino,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
Group A/Alphen Challenger 2014/First Round Matches/Gimeno-Traver v Donati,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
Group A/Alphen Challenger 2014/First Round Matches/Hanescu v De Greef,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154
Group A/Alphen Challenger 2014/First Round Matches/Koolhof v Sijsling,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265
Group A/Alphen Challenger 2014/First Round Matches/Lamasine v Carballes Baena,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417
Group A/Alphen Challenger 2014/First Round Matches/Mat Viola v Munoz-De La Nava,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163
Group A/Alphen Challenger 2014/First Round Matches/Mektic v Sels,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286
Group A/Alphen Challenger 2014/First Round Matches/Middelkoop v Podlipnik-Castillo,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309
Group A/Alphen Challenger 2014/First Round Matches/R Haase v Ramirez Hidalgo,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
Group A/Alphen Challenger 2014/First Round Matches/S Diez v Huta Galung,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
Group A/Alphen Challenger 2014/First Round Matches/Torebko v M Baumann,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151
Group A/Alphen Challenger 2014/First Round Matches/Westerhof v Cervantes,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
Group A/Alphen Challenger 2014/First Round Matches/Wunner v Van Der Duim,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306
Group A/Alphen Challenger 2014/First Round Matches/Y Mertens v Michon,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
Group A/Alphen Challenger 2014/Quarter Final Matches/Gimeno-Traver v Lamasine,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533
Group A/Alphen Challenger 2014/Quarter Final Matches/Hanescu v Coppejans,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306
Group A/Alphen Challenger 2014/Quarter Final Matches/Huta Galung v Van Der Duim,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
Group A/Alphen Challenger 2014/Quarter Final Matches/Munoz-De La Nava v Sijsling,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
Group A/Alphen Challenger 2014/Second Round Matches/Gimeno-Traver v Androic,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
Group A/Alphen Challenger 2014/Second Round Matches/Giustino v Coppejans,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
Group A/Alphen Challenger 2014/Second Round Matches/Hanescu v Middelkoop,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
Group A/Alphen Challenger 2014/Second Round Matches/M Baumann v Lamasine,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215
Group A/Alphen Challenger 2014/Second Round Matches/Munoz-De La Nava v Westerhof,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137
Group A/Alphen Challenger 2014/Second Round Matches/R Haase v Huta Galung,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
Group A/Alphen Challenger 2014/Second Round Matches/Sels v Sijsling,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
Group A/Alphen Challenger 2014/Second Round Matches/Van Der Duim v Michon,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
Group A/Alphen Challenger 2014/Semi Final Matches/Hanescu v Munoz-De La Nava,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419
Group A/Alphen Challenger 2014/Semi Final Matches/Huta Galung v Lamasine,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194
Group A/Alphen Challenger 2014/The Final/Huta Galung v Munoz-De La Nava,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
Group A/Brasov Challenger 2014/First Round Matches/A Haider-Maurer v Lopez-Perez,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
Group A/Brasov Challenger 2014/First Round Matches/A Ungur v Crivoi,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
Group A/Brasov Challenger 2014/First Round Matches/Bourgue v F Arguello,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214
Group A/Brasov Challenger 2014/First Round Matches/Copil v Krstin,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136
Group A/Brasov Challenger 2014/First Round Matches/Dima v J Pospisil,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Group A/Brasov Challenger 2014/First Round Matches/Fortuna v Ciorcila,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Group A/Brasov Challenger 2014/First Round Matches/G Melzer v M Jankovic,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185
Group A/Brasov Challenger 2014/First Round Matches/Grigelis v Pouille,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494
Group A/Brasov Challenger 2014/First Round Matches/J Eysseric v Karatsev,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
Group A/Brasov Challenger 2014/First Round Matches/Luncanu v Cornea,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
Group A/Brasov Challenger 2014/First Round Matches/Machado v Mertl,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319
Group A/Brasov Challenger 2014/First Round Matches/R Marcora v Riba,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Group A/Brasov Challenger 2014/First Round Matches/Reuter v Torroni,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
