FULL_DESCRIPTION,NUMBER_BETS,VOLUME_MATCHED,WIN_AMOUNT,LOSS_AMOUNT,SETTLED_DATE,COUNTRY,CITY
Group A/Alphen Challenger 2014/First Round Matches/Coppejans v de Bakker,4561,150313.6,139224.4454,119163.6046,2/9/14 18:51,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/First Round Matches/G Granollers v Androic,3709,199985.68,213980.647,122596.1494,3/9/14 15:14,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/First Round Matches/Garanganga v Giustino,1050,68465.4,75375.9638,15987.0176,2/9/14 12:33,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/First Round Matches/Gimeno-Traver v Donati,2444,268465.58,289116.2668,52752.1718,2/9/14 14:53,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/First Round Matches/Hanescu v De Greef,1209,124856.94,133359.9194,21998.3824,3/9/14 13:59,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/First Round Matches/Koolhof v Sijsling,2596,223067.24,258887.6206,198691.0652,3/9/14 13:06,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/First Round Matches/Lamasine v Carballes Baena,3170,162180.73,129692.2994,130668.2227,2/9/14 16:05,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/First Round Matches/Mat Viola v Munoz-De La Nava,1139,59823.26,72159.4302,17408.9222,2/9/14 13:35,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/First Round Matches/Mektic v Sels,2085,158375.26,138778.5332,76304.2916,2/9/14 12:47,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/First Round Matches/Middelkoop v Podlipnik-Castillo,1369,74740.32,95301.62,30192.1662,3/9/14 11:49,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/First Round Matches/R Haase v Ramirez Hidalgo,877,131453.28,141042.4464,151921.812,3/9/14 18:04,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/First Round Matches/S Diez v Huta Galung,1121,66420.08,70724.3614,13760.2996,3/9/14 16:40,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/First Round Matches/Torebko v M Baumann,713,39436.98,34052,38158.7156,3/9/14 16:46,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/First Round Matches/Westerhof v Cervantes,745,37197.58,43215.326,14495.0306,3/9/14 12:20,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/First Round Matches/Wunner v Van Der Duim,2190,94119.08,84651.153,66627.3564,3/9/14 13:39,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/First Round Matches/Y Mertens v Michon,599,45821.18,49012.5972,9231.7576,2/9/14 11:38,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/Quarter Final Matches/Gimeno-Traver v Lamasine,6560,430604.46,382743.2142,361717.317,5/9/14 14:47,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/Quarter Final Matches/Hanescu v Coppejans,4240,305106.76,339987.558,141671.9082,5/9/14 17:40,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/Quarter Final Matches/Huta Galung v Van Der Duim,1285,77971.23,81984.9473,22969.676,5/9/14 12:53,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/Quarter Final Matches/Munoz-De La Nava v Sijsling,1751,112850.24,129278.8498,31457.7584,5/9/14 19:15,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/Second Round Matches/Gimeno-Traver v Androic,710,64864.12,66974.3912,26987.767,4/9/14 11:47,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/Second Round Matches/Giustino v Coppejans,327,10569.04,11868.3566,4872.9284,4/9/14 12:58,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/Second Round Matches/Hanescu v Middelkoop,1937,219218.94,238701.7114,14328.6108,4/9/14 17:06,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/Second Round Matches/M Baumann v Lamasine,1013,55779.22,55741.89,20248.7904,4/9/14 14:32,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/Second Round Matches/Munoz-De La Nava v Westerhof,957,65480.38,73935.7036,17570.5294,4/9/14 12:17,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/Second Round Matches/R Haase v Huta Galung,5403,291000.96,185875.3218,300120.0804,4/9/14 15:21,Netherlands,Alphen aan den Rijn
Group A/Alphen Challenger 2014/Second Round Matches/Sels v Sijsling,949,138744.79,143266.9163,120279.6,4/9/14 19:36,Netherlands,Alphen aan den Rijn
